run_id,task,condition,trial,success,wall_ms,duration_api_ms,num_turns,total_cost_usd,input_tokens,output_tokens,cache_read,cache_creation,result_length,stop_reason,total_tool_calls,standard_calls,lsp_calls,mcp_calls,lsp_ratio,mcp_ratio,first_tool,tool_sequence
20260317_194106,t1_call_chain,TG_GUIDED,2,true,162256,129327,12,0.216893,13,7917,136870,15210,13434,end_turn,10,0,0,10,0.0,1.0,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods
20260317_194106,t1_call_chain,TG_GUIDED,3,true,175400,142193,16,0.214765,13,7984,145403,13692,13047,end_turn,14,0,0,14,0.0,1.0,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__search_methods;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources
20260317_194106,t1_call_chain,TG_GUIDED,4,true,126113,93471,11,0.137706,11,4491,109684,9974,8890,end_turn,9,0,0,9,0.0,1.0,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources
20260317_194106,t1_call_chain,TG_GUIDED,5,true,144628,110678,15,0.208323,14,5731,169946,19022,11403,end_turn,14,1,0,13,0.0,0.929,Bash,Bash;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources
20260317_194106,t1_call_chain,TG_NATURAL,1,true,179171,146270,13,0.237638,13,8175,147021,18898,12418,end_turn,11,0,0,11,0.0,1.0,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources
20260317_194106,t1_call_chain,TG_NATURAL,2,true,111128,78351,11,0.140667,11,4189,105594,12299,7909,end_turn,9,1,0,8,0.0,0.889,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;Read;mcp__type-guessr__get_method_sources
20260317_194106,t1_call_chain,TG_NATURAL,3,true,112515,79458,15,0.155357,14,4282,155754,11829,7655,end_turn,13,1,0,12,0.0,0.923,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;Read;mcp__type-guessr__get_method_sources
20260317_194106,t1_call_chain,TG_NATURAL,4,true,136032,103120,17,0.18364,18,5413,230016,8903,10324,end_turn,15,4,0,11,0.0,0.733,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;Grep;Grep;Grep;Read;mcp__type-guessr__search_methods;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources
20260317_194106,t1_call_chain,TG_NATURAL,5,true,153055,120612,18,0.170967,16,5398,195879,8316,10115,end_turn,16,2,0,14,0.0,0.875,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_signatures;mcp__type-guessr__search_methods;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;Grep;Read
20260317_194106,t2_infer_dispatch,BASE,1,true,63767,42011,4,0.100215,6,2433,27604,14779,3977,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,BASE,2,true,74416,52780,4,0.053833,6,2740,42383,0,4568,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,BASE,3,true,73385,51945,4,0.100158,6,2945,29836,12537,4168,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,BASE,4,true,62838,41399,4,0.050323,6,2506,42383,0,4085,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,BASE,5,true,63919,42432,4,0.093154,6,2507,29966,12411,4469,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,LSP_GUIDED,1,true,99259,76101,6,0.187563,10,4244,108911,24320,4990,end_turn,4,2,1,0,0.25,0.0,ToolSearch,ToolSearch;Glob;LSP;Read
20260317_194106,t2_infer_dispatch,LSP_GUIDED,2,true,96396,73167,6,0.191426,10,4352,108260,24970,4999,end_turn,4,2,1,0,0.25,0.0,ToolSearch,ToolSearch;Glob;LSP;Read
20260317_194106,t2_infer_dispatch,LSP_GUIDED,3,true,76716,54099,6,0.148591,12249,3173,67926,11699,5041,end_turn,4,2,1,0,0.25,0.0,Glob,Glob;ToolSearch;LSP;Read
20260317_194106,t2_infer_dispatch,LSP_GUIDED,4,true,78009,54813,6,0.131242,12249,2025,67910,11666,4907,end_turn,4,2,1,0,0.25,0.0,ToolSearch,ToolSearch;Glob;LSP;Read
20260317_194106,t2_infer_dispatch,LSP_GUIDED,5,true,104658,81009,6,0.202478,9,5638,88937,24320,5505,end_turn,4,2,1,0,0.25,0.0,ToolSearch,ToolSearch;Glob;LSP;Read
20260317_194106,t2_infer_dispatch,LSP,1,true,68704,47036,4,0.144563,6,2711,66903,22349,4778,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,LSP,2,true,82271,60692,4,0.159054,6,3654,66731,22455,4952,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,LSP,3,true,94891,73238,4,0.158698,6,3662,66872,22317,4997,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,LSP,4,true,62507,40885,4,0.131469,6,1847,66870,22316,4863,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,LSP,5,true,92475,70958,4,0.157719,6,3597,66870,22316,5231,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t2_infer_dispatch,TG_GUIDED,1,true,106684,72327,5,0.172682,7,4458,51512,24090,5195,end_turn,3,1,0,2,0.0,0.667,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;Read
20260317_194106,t2_infer_dispatch,TG_GUIDED,2,true,171402,137333,6,0.231532,8,10832,67106,13039,5069,end_turn,4,1,0,3,0.0,0.75,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;Read
20260317_194106,t2_infer_dispatch,TG_GUIDED,3,true,118164,84223,7,0.161329,7,6159,53882,14069,5215,end_turn,5,2,0,3,0.0,0.6,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;Read;Read
20260317_194106,t2_infer_dispatch,TG_GUIDED,4,true,123829,90712,8,0.165389,8,6254,76290,12978,4885,end_turn,6,3,0,3,0.0,0.5,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;Read;Read;Read
20260317_194106,t2_infer_dispatch,TG_GUIDED,5,true,100343,67465,6,0.135723,7,4831,53765,12562,4951,end_turn,4,1,0,3,0.0,0.75,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;Read
20260317_194106,t2_infer_dispatch,TG_NATURAL,1,true,72811,38548,5,0.103302,7,1882,41757,16673,4290,end_turn,3,2,0,1,0.0,0.333,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Glob;Read
20260317_194106,t2_infer_dispatch,TG_NATURAL,2,true,81782,46416,6,0.103649,7,2751,53564,12345,4613,end_turn,4,2,0,2,0.0,0.5,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Glob;mcp__type-guessr__get_method_sources;Read
20260317_194106,t2_infer_dispatch,TG_NATURAL,3,true,153988,118851,7,0.188442,7,8366,53658,12489,4897,end_turn,5,2,0,3,0.0,0.6,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Glob;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;Read
20260317_194106,t2_infer_dispatch,TG_NATURAL,4,true,74626,41075,5,0.092388,6,2357,36187,12309,4205,end_turn,3,2,0,1,0.0,0.333,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Glob;Read
20260317_194106,t2_infer_dispatch,TG_NATURAL,5,true,78097,43836,5,0.091822,6,2311,36187,12342,4459,end_turn,3,2,0,1,0.0,0.333,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Glob;Read
20260317_194106,t3_ir_nodes,BASE,1,true,89180,67142,4,0.123016,6,4375,27719,13082,13106,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,BASE,2,true,76127,54613,4,0.098817,6,3245,29830,10980,9701,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,BASE,3,true,90955,69461,4,0.116085,6,4377,29678,11069,13922,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,BASE,4,true,124681,103074,4,0.089946,6,5179,40810,0,16389,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,BASE,5,true,96974,75611,4,0.086556,6,4953,40810,0,15494,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,LSP_GUIDED,1,true,99743,78185,5,0.158472,6,4678,59831,18756,14858,end_turn,3,2,0,0,0.0,0.0,ToolSearch,ToolSearch;Glob;Read
20260317_194106,t3_ir_nodes,LSP_GUIDED,2,true,93195,71699,5,0.152772,6,4298,59831,18756,13291,end_turn,3,2,0,0,0.0,0.0,ToolSearch,ToolSearch;Glob;Read
20260317_194106,t3_ir_nodes,LSP_GUIDED,3,true,93417,70563,6,0.167041,10689,4054,67901,14345,12450,end_turn,4,2,1,0,0.25,0.0,ToolSearch,ToolSearch;Glob;LSP;Read
20260317_194106,t3_ir_nodes,LSP_GUIDED,4,true,100313,77688,6,0.178952,10689,4842,67918,14368,13930,end_turn,4,2,1,0,0.25,0.0,ToolSearch,ToolSearch;Glob;LSP;Read
20260317_194106,t3_ir_nodes,LSP_GUIDED,5,true,98694,75360,6,0.173187,10689,4463,67901,14348,13390,end_turn,4,2,1,0,0.25,0.0,ToolSearch,ToolSearch;Glob;LSP;Read
20260317_194106,t3_ir_nodes,LSP,1,true,99291,77636,4,0.17191,6,4902,66722,20892,16224,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,LSP,2,true,105645,83854,4,0.174161,6,5050,66726,20900,16458,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,LSP,3,true,102195,80503,4,0.176549,6,5243,66863,20754,17023,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,LSP,4,true,92988,70894,4,0.167489,6,4639,66863,20754,14643,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,LSP,5,true,101111,79181,4,0.174419,6,5101,66863,20754,15921,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_GUIDED,1,true,109780,75171,4,0.134298,6,5074,30389,13081,15795,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_GUIDED,2,true,104414,69752,4,0.085044,6,4799,43470,0,14817,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_GUIDED,3,true,107300,73716,4,0.083454,6,4693,43470,0,14874,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_GUIDED,4,true,109648,76081,4,0.084819,6,4784,43470,0,15227,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_GUIDED,5,true,96050,63046,4,0.113773,6,4195,32521,10953,13029,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_NATURAL,1,true,100068,66283,4,0.125699,6,4507,30035,13084,12454,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_NATURAL,2,true,102160,66990,4,0.119377,6,4547,32038,11078,14014,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_NATURAL,3,true,115902,81161,4,0.124516,6,4889,32042,11080,15913,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_NATURAL,4,true,130828,95246,4,0.120074,6,4622,32100,10959,14269,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t3_ir_nodes,TG_NATURAL,5,true,110880,75459,4,0.121181,6,4690,32140,10979,14713,end_turn,2,2,0,0,0.0,0.0,Glob,Glob;Read
20260317_194106,t4_registry_arch,BASE,1,true,90677,69215,9,0.172142,6,4067,28858,27323,11774,end_turn,7,7,0,0,0.0,0.0,Grep,Grep;Glob;Read;Read;Read;Read;Read
20260317_194106,t4_registry_arch,BASE,2,true,105961,84558,12,0.204545,5117,4443,73560,26795,11928,end_turn,10,10,0,0,0.0,0.0,Glob,Glob;Bash;Read;Read;Read;Read;Glob;Glob;Read;Read
20260317_194106,t4_registry_arch,BASE,3,true,156021,134335,20,0.431388,5123,7059,290554,59458,17599,end_turn,18,18,0,0,0.0,0.0,Bash,Bash;Read;Grep;Bash;Read;Read;Read;Read;Glob;Glob;Read;Read;Read;Read;Glob;Read;Read;Read
20260317_194106,t4_registry_arch,BASE,4,true,131140,109560,15,0.258028,12,5475,164447,33742,12901,end_turn,13,13,0,0,0.0,0.0,Bash,Bash;Grep;Grep;Bash;Read;Read;Read;Read;Read;Read;Read;Grep;Read
20260317_194106,t4_registry_arch,BASE,5,true,97214,75506,9,0.16731,6,4235,31202,25175,12074,end_turn,7,7,0,0,0.0,0.0,Glob,Glob;Grep;Read;Read;Read;Read;Read
20260317_194106,t4_registry_arch,LSP_GUIDED,1,true,108909,87373,12,0.247749,10,4815,133404,36126,12037,end_turn,11,10,0,0,0.0,0.0,Bash,Bash;ToolSearch;Glob;Read;Read;Read;Read;Glob;Glob;Glob;Read
20260317_194106,t4_registry_arch,LSP_GUIDED,2,true,104966,83682,11,0.2304,9,4532,100209,35288,11912,end_turn,10,9,0,0,0.0,0.0,Bash,Bash;ToolSearch;Glob;Read;Read;Read;Read;Glob;Read;Glob
20260317_194106,t4_registry_arch,LSP_GUIDED,3,true,99918,78423,10,0.223656,9,4110,100431,35160,10825,end_turn,9,8,0,0,0.0,0.0,Bash,Bash;ToolSearch;Glob;Read;Read;Read;Read;Glob;Read
20260317_194106,t4_registry_arch,LSP_GUIDED,4,true,115811,94100,15,0.255956,10,5236,124511,37342,12284,end_turn,14,8,5,0,0.357,0.0,Bash,Bash;ToolSearch;Glob;LSP;LSP;LSP;LSP;Glob;Read;Read;Read;Read;LSP;Read
20260317_194106,t4_registry_arch,LSP_GUIDED,5,true,118127,96349,20,0.296412,15,4993,285402,36227,10598,end_turn,18,11,6,0,0.333,0.0,ToolSearch,ToolSearch;Glob;LSP;LSP;LSP;LSP;Glob;Glob;LSP;LSP;Read;Read;Read;Read;Read;Read;Read;Read
20260317_194106,t4_registry_arch,LSP,1,true,91839,70292,11,0.226726,8,3792,130448,34850,9934,end_turn,9,9,0,0,0.0,0.0,Glob,Glob;Glob;Read;Read;Read;Read;Glob;Grep;Read
20260317_194106,t4_registry_arch,LSP,2,true,128283,106952,15,0.294689,9,5026,202070,42307,12734,end_turn,13,13,0,0,0.0,0.0,Glob,Glob;Grep;Glob;Read;Read;Read;Read;Read;Grep;Glob;Grep;Grep;Read
20260317_194106,t4_registry_arch,LSP,3,true,104830,82917,12,0.232019,8,4106,130943,34966,10686,end_turn,11,11,0,0,0.0,0.0,Bash,Bash;Glob;Glob;Glob;Read;Read;Read;Read;Glob;Glob;Read
20260317_194106,t4_registry_arch,LSP,4,true,85453,63763,11,0.221628,7,3575,111490,35876,9216,end_turn,9,9,0,0,0.0,0.0,Glob,Glob;Glob;Grep;Read;Read;Read;Read;Read;Grep
20260317_194106,t4_registry_arch,LSP,5,true,95635,74056,9,0.217501,7,3880,98497,34595,11117,end_turn,7,7,0,0,0.0,0.0,Glob,Glob;Grep;Read;Read;Read;Read;Read
20260317_194106,t4_registry_arch,TG_GUIDED,1,true,141704,104642,17,0.246278,12,5856,180394,27809,10742,end_turn,15,4,0,11,0.0,0.733,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Grep;Glob;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;Glob;Grep;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources
20260317_194106,t4_registry_arch,TG_GUIDED,2,true,143620,106729,11,0.230079,9,5982,110315,28594,13678,end_turn,9,3,0,6,0.0,0.667,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Glob;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;Glob;Read
20260317_194106,t4_registry_arch,TG_GUIDED,3,true,131541,92788,11,0.220079,9,4916,113893,29905,13846,end_turn,9,7,0,2,0.0,0.222,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Glob;Read;Read;Read;Read;mcp__type-guessr__search_methods;Glob;Read
20260317_194106,t4_registry_arch,TG_GUIDED,4,true,139417,101388,12,0.214677,9,4793,102350,29880,12376,end_turn,10,8,0,2,0.0,0.2,mcp__type-guessr__search_methods,mcp__type-guessr__search_methods;Grep;Glob;mcp__type-guessr__search_methods;Read;Read;Read;Read;Glob;Read
20260317_194106,t4_registry_arch,TG_GUIDED,5,true,133521,95363,12,0.222974,10,4909,121147,30124,12861,end_turn,11,9,0,2,0.0,0.182,Bash,Bash;mcp__type-guessr__search_methods;Grep;Glob;mcp__type-guessr__search_methods;Read;Read;Read;Read;Glob;Read
20260317_194106,t4_registry_arch,TG_NATURAL,1,true,113560,79803,9,0.17848,6,4074,32510,28693,11654,end_turn,7,7,0,0,0.0,0.0,Grep,Grep;Glob;Read;Read;Read;Read;Read
20260317_194106,t4_registry_arch,TG_NATURAL,2,true,104803,70624,9,0.178202,6,4063,32510,28663,11600,end_turn,7,7,0,0,0.0,0.0,Grep,Grep;Glob;Read;Read;Read;Read;Read
20260317_194106,t4_registry_arch,TG_NATURAL,3,true,103516,69263,9,0.174282,6,4252,34493,26703,12229,end_turn,7,7,0,0,0.0,0.0,Grep,Grep;Glob;Read;Read;Read;Read;Read
20260317_194106,t4_registry_arch,TG_NATURAL,4,true,131351,97819,10,0.180672,7,4070,58394,27222,11192,end_turn,8,8,0,0,0.0,0.0,Glob,Glob;Bash;Read;Read;Read;Read;Glob;Read
20260317_194106,t4_registry_arch,TG_NATURAL,5,true,115479,81832,10,0.199872,7,4729,68308,28913,12584,end_turn,8,8,0,0,0.0,0.0,Grep,Grep;Bash;Read;Read;Read;Read;Read;Read
20260317_194106,t5_type_system,BASE,1,true,136968,115571,10,0.233254,1666,5789,102179,29538,14125,end_turn,8,8,0,0,0.0,0.0,Glob,Glob;Glob;Read;Glob;Read;Read;Read;Grep
20260317_194106,t5_type_system,BASE,2,true,137538,115690,11,0.24169,10,6027,118382,30864,14673,end_turn,9,9,0,0,0.0,0.0,Glob,Glob;Glob;Glob;Bash;Read;Read;Read;Read;Bash
20260317_194106,t5_type_system,BASE,3,true,166449,144699,11,0.250677,9,8811,101562,23471,12893,end_turn,9,9,0,0,0.0,0.0,Glob,Glob;Glob;Glob;Read;Read;Glob;Grep;Grep;Grep
20260317_194106,t5_type_system,BASE,4,true,116736,94932,11,0.211569,10,5379,124419,24941,12505,end_turn,9,9,0,0,0.0,0.0,Glob,Glob;Glob;Glob;Bash;Read;Read;Read;Read;Bash
20260317_194106,t5_type_system,BASE,5,true,170518,148623,14,0.321579,13,6567,256536,38953,15136,end_turn,12,12,0,0,0.0,0.0,Glob,Glob;Glob;Bash;Bash;Read;Read;Read;Read;Read;Bash;Bash;Read
20260317_194106,t5_type_system,LSP_GUIDED,1,true,177927,154673,16,0.30207,46,8517,207851,29819,13679,end_turn,14,11,2,0,0.143,0.0,ToolSearch,ToolSearch;Glob;Glob;LSP;Glob;Read;Glob;Grep;LSP;Grep;Read;Grep;Grep;Read
20260317_194106,t5_type_system,LSP_GUIDED,2,true,122580,99372,11,0.249369,45,4938,169529,33148,12492,end_turn,9,6,2,0,0.222,0.0,ToolSearch,ToolSearch;Glob;Glob;LSP;Glob;Read;Glob;LSP;Read
20260317_194106,t5_type_system,LSP_GUIDED,3,true,158424,135152,12,0.280062,45,6887,170264,33478,13317,end_turn,10,7,2,0,0.2,0.0,ToolSearch,ToolSearch;Glob;Glob;LSP;Glob;Read;Glob;LSP;Glob;Read
20260317_194106,t5_type_system,LSP_GUIDED,4,true,155036,131493,10,0.290838,12,7718,169452,33119,13903,end_turn,8,5,2,0,0.25,0.0,ToolSearch,ToolSearch;Glob;Glob;LSP;Read;Glob;LSP;Read
